Medical Term,Meaning,llama_explanation
CDGP (Constitutional delay in growth and puberty),A temporary delay in physical development and puberty.,"Some kids grow and develop more slowly than their friends. They might be shorter and look younger than others their age. This is because their body is taking its time to mature. It's like their growth clock is running a bit behind schedule, but it will catch up eventually."
CDH (Congenital diaphragmatic hernia),"A birth defect where the diaphragm doesn't form properly, allowing abdominal organs into the chest.","A baby's diaphragm, a muscle that helps them breathe, doesn't form correctly in the womb. This creates a hole that allows abdominal organs to move into the chest, making it hard for the lungs to grow and function properly."
CDS (Congenital dyserythropoietic anaemia),A rare genetic disorder causing abnormal red blood cell production.,"This is a rare condition that some babies are born with, where their body has trouble making healthy red blood cells. This can lead to anemia, which means they don't have enough red blood cells or they don't work properly, making them feel weak and tired."
CeO (Cerebral oedema),Swelling of the brain due to fluid accumulation.,"

When your brain gets hurt, it can start to swell up like a bruise. This swelling can put pressure on your brain and make it hard for it to work properly. It's like when you get a puffy eye from a black eye - but it's inside your head."
CER (Control event rate),The proportion of control group participants experiencing an event in a study.,"

This measures how many people in a group (like a study) experience a certain event (like getting sick) when they don't receive a specific treatment or medicine. It's like counting how many people get sick when they don't take a certain pill."
CF (Cystic fibrosis),A genetic condition causing thick mucus to build up in the lungs and digestive system.,"

CF is a condition where the body makes thick, sticky mucus that clogs up the lungs and digestive system. This makes it hard to breathe and digest food, leading to frequent lung infections and poor growth. It's like having a constantly clogged pipe that never clears up."
CFAM (Cerebral function analysis monitoring),"A technique for monitoring brain activity, often in newborns.","""This is a way to check how well your brain is working. It helps doctors see if your brain is sending and receiving signals properly. It's like checking the connections in a computer to make sure everything is working smoothly."""
CFRD (Cystic fibrosis,related diabetes): A form of diabetes associated with cystic fibrosis.,"

This is a condition where the body produces thick, sticky mucus that blocks tubes and passageways. This causes problems with breathing, digestion, and absorbing nutrients. It affects many organs, including the lungs, pancreas, and liver, making it hard for the body to work properly."
CFS (Chronic fatigue syndrome): A long,term condition causing extreme tiredness and other symptoms.,"

It's a condition where you feel extremely tired all the time, no matter how much rest you get. You might feel exhausted after doing simple tasks, and this fatigue lasts for a long time, making it hard to do daily activities and live a normal life."
CFTR (Cystic fibrosis transmembrane receptor),A protein that regulates the movement of salt and water in and out of cells; mutations cause cystic fibrosis.,"A special channel in cells helps move salt and water in and out. Imagine a gate that opens and closes to control the flow. In healthy people, this gate works properly, but in some people, it's faulty, causing problems with breathing, digestion, and other bodily functions."
CGA (Corrected gestational age),The age of a premature infant calculated from the due date rather than the birth date.,"It's a way to figure out how old a baby is in the womb, taking into account how pregnant the mom is and how developed the baby is. This helps doctors understand the baby's growth and health, even if the mom isn't exactly sure when she got pregnant."
CGM (Continuous glucose monitoring): A system to track glucose levels in real,time using a sensor.,"

A special device helps keep track of how much sugar is in your blood, all the time, even when you're sleeping. It gives you a constant reading, so you can see if your levels are too high or too low, and make adjustments to stay healthy."
CGMS (Continuous glucose monitoring system),"The complete device used for continuous glucose monitoring, including the sensor and receiver.","It's a small device that constantly checks your blood sugar levels throughout the day and night, giving you a clear picture of how your levels change. It helps you understand how food, exercise, and other activities affect your blood sugar, so you can make informed decisions to manage it better."
CH (Cystic hygroma): A fluid,"filled sac caused by blocked lymphatic vessels, often found in the neck.","

""A type of birthmark that appears as a soft, mushy lump or swelling, usually on the neck or head. It's filled with fluid and can be big or small. Sometimes it can cause problems by pressing on nearby body parts."""
CHARGE,"A syndrome involving a combination of coloboma, heart defects, choanal atresia, retarded growth, genital anomalies, and ear abnormalities.","This is a rare condition where some babies are born with many problems, like heart defects, small eyes or no eyes, and trouble breathing, eating, or hearing. It can also affect their growth and development. Each baby with this condition has a unique mix of these problems."
CHC (Choriocarcinoma),"A rare, aggressive type of cancer that occurs in the placenta during pregnancy.","It's a type of cancer that grows in the uterus, usually after a pregnancy. It starts in the cells that form the placenta, which is the organ that helps a baby grow inside the womb. This cancer can spread quickly and needs to be treated promptly."
CHD (Congenital heart disease),Heart defects present from birth that affect the heart's structure and function.,"Some babies are born with hearts that aren't formed quite right. This can mean that the heart doesn't pump blood correctly, which can cause problems like fatigue, breathing difficulties, and poor growth. It's like their heart is trying to work with a faulty engine, making it harder for their body to get the oxygen it needs."
CHEOPS (Children’s Hospital of Eastern Ontario Pain Scale),A tool used to measure pain in children based on behavior and vocalizations.,"It's a way to measure how much pain a child is feeling. Nurses or doctors ask the child to point to a picture that shows how they're feeling, from a happy face to a very sad face. This helps them figure out the best way to help the child feel better."
CHO (Carbohydrate),"A macronutrient that provides energy, consisting of carbon, hydrogen, and oxygen.","This is a type of food that gives you energy. It's found in foods like bread, pasta, fruits, and sweets. When you eat these foods, your body breaks them down into a kind of fuel that helps you move, think, and function."
CI (Confidence interval),A range of values used in statistics to estimate the reliability of a measurement.,"

""It's a range of values that helps us figure out how accurate a measurement is. Think of it like a margin of error. For example, if we say a new medicine helps 70-80% of people, it means we're pretty sure the real number is somewhere between 70 and 80, but not exactly those numbers."""
CIE (Congenital ichthyosiform erythroderma),"A rare genetic skin disorder causing red, scaly skin.","This is a rare condition where a person is born with very dry, scaly, and red skin all over their body. The skin is thick and flaky, like fish scales, and can be very itchy and uncomfortable. It can make it hard for the skin to protect itself from infections and keep moisture in."
CJD (Creutzfeldt,"Jakob disease): A rare, degenerative brain disorder caused by abnormal proteins called prions.","

This is a rare and serious brain disease that affects a tiny number of people. It's caused by a misshapen protein that damages the brain, leading to memory loss, confusion, and loss of coordination. It's usually inherited or caused by an accident, and unfortunately, there's no cure."
CK (Creatine kinase),"An enzyme found in muscles and the brain, often measured to diagnose muscle damage.","

This is an enzyme that helps your muscles work properly. When your muscles are damaged or injured, this enzyme leaks out into your blood. Doctors can test your blood to see how much of it is present, which helps them figure out if you've got muscle damage and how bad it is."
CLD (Chronic lung disease): A long,"term respiratory condition, often seen in premature infants or adults with lung damage.","

""When someone's lungs are damaged over time, it can make it hard to breathe and get oxygen. This can happen from smoking, pollution, or other things that hurt the lungs. It's like having a constant, slow-moving blockage in your airways that makes it hard to get the air you need."""
CLE (Congenital lobar emphysema),A rare lung condition in newborns causing overexpansion of one or more lung lobes.,"

Some babies are born with a lung problem where one part of their lung is bigger and air-filled than it should be. This can make it hard for them to breathe and might cause other problems. It's something they're born with, and doctors can often fix it with surgery."
CMG (Congenital myasthenia gravis),"A genetic disorder affecting the communication between nerves and muscles, causing weakness.","

Some babies are born with weak muscles that get tired easily. Even simple tasks like eating, breathing, or moving can be hard for them. This can cause problems like droopy eyelids, weak arms and legs, and trouble swallowing. It's like their muscles are always feeling exhausted, even when they're not doing much."
CML (Chronic myeloid leukaemia): A slow,growing type of blood cancer that affects white blood cells.,"

It's a type of cancer that affects the blood. The bone marrow, which makes blood cells, starts producing abnormal cells that multiply slowly over time. This can lead to too many abnormal cells in the blood, causing problems like fatigue, anemia, and easy bleeding."
CMV (Cytomegalovirus),A common virus that can cause serious illness in immunocompromised individuals or during pregnancy.,"

It's a very common virus that most people get at some point in their lives. It's usually harmless, but can be serious for people with weak immune systems, like babies or those with certain illnesses. It can cause problems like fever, fatigue, and swollen glands."
CNS (Central nervous system),"The brain and spinal cord, which control most body functions.","in simple language:

It's the main control center of your body, like a command headquarters. It helps you think, move, feel emotions, and make decisions. It's like the ""boss"" that tells all the other parts of your body what to do."
CoA (Coarctation of the aorta),"A congenital condition where the aorta is narrowed, affecting blood flow.","

Imagine a pipe that carries blood from the heart to the rest of the body. Sometimes, this pipe can be narrow or blocked, making it hard for blood to flow. This can make it difficult for the body to get the oxygen it needs, leading to problems like high blood pressure and tiredness."
CONS (Coagulase,"negative staphylococci): A group of bacteria commonly found on the skin, sometimes causing infections.","

It's a type of test to identify a certain kind of bacteria that can cause serious infections. The test checks if the bacteria can produce a special substance that helps it clot blood. This substance is like a sticky glue that lets the bacteria stick together and cause harm."
CoRF (Corticotrophin,releasing factor): A hormone involved in the stress response by stimulating cortisol release.,"

This hormone helps your body respond to stress by telling your adrenal glands to produce another hormone that gives you energy and helps you react to the stress. It's like a messenger that helps your body go into ""emergency mode"" when you need it to."
CP (Cerebral palsy),"A group of disorders affecting movement, muscle tone, and posture caused by brain damage during development.","This is a condition where the brain doesn't send the right messages to the muscles, causing problems with movement, balance, and coordination. It can make it hard for people to walk, run, or even move their arms and legs like they want to."
CPAP (Continuous positive airway pressure),"A treatment delivering steady air pressure to keep airways open, often used for sleep apnea.","It's a machine that helps people breathe easier while they sleep. It gently blows air into their nose and mouth to keep their airways open, so they can get a good night's rest without struggling to breathe."
CPR (Cardiopulmonary resuscitation),An emergency procedure to restore breathing and circulation in cardiac arrest.,"When someone's heart stops beating, CPR is a way to help keep them alive. It involves pressing on their chest to keep blood flowing and breathing for them to provide oxygen, until medical help arrives. It's like giving their heart and lungs a little help until they can work on their own again."
CPS (Carbamyl phosphate synthetase deficiency),"A rare genetic disorder affecting the urea cycle, leading to ammonia buildup.","This is a rare condition where the body can't break down certain substances properly. It affects the brain and can cause seizures, delays in development, and other problems. The body has trouble getting rid of extra ammonia, which can be harmful if it builds up."
CRF (Chronic renal failure),A gradual loss of kidney function over time.,"

Your kidneys filter waste from your blood. Sometimes, they stop working properly and can't get rid of waste fast enough. This can lead to a buildup of bad stuff in your body, making you feel sick and tired. It's like a filter that gets clogged and can't be cleaned, making you feel unwell."
CRIES,"A pain assessment tool for newborns measuring Crying, oxygen Requirements, Increased vital signs, Expression, and Sleeplessness.","It's a way to assess the pain of a newborn baby. It looks at five things: the baby's crying, oxygen levels, responsiveness, activity, and facial expressions. This helps doctors and nurses understand how much pain the baby is in and figure out how to make them feel better."
CRMO (Chronic recurrent multifocal osteomyelitis),A rare inflammatory bone condition causing recurring pain and swelling.,"This is a condition where your bones get inflamed and can be very painful. It can happen in different parts of your body, like your legs, arms, or spine. The inflammation goes away for a while, but then comes back. It's like having recurring bouts of bone pain that can be hard to deal with."
CRP (C,"reactive protein): A substance produced by the liver in response to inflammation, measured in blood tests.","

When your body is fighting an infection or is injured, it sends out special helpers to fix the problem. One of these helpers makes a particular protein that can be measured in your blood. A higher level of this protein means your body is working harder to heal itself."
CRT (Capillary refill time),A test to assess blood flow by measuring how quickly blood returns to a pinched area of skin.,"When you press on the skin, it turns white. Then, when you let go, it goes back to its normal color. The time it takes for the skin to return to its normal color after you press on it is an important sign of how well blood is flowing to that area."
CS (Caesarean section),A surgical procedure to deliver a baby through the mother's abdomen.,"When a baby is having trouble coming out during birth, a doctor might need to make a special cut in the mother's belly to help the baby come out safely. This helps ensure both mom and baby are healthy and okay."
CSF (Cerebrospinal fluid),"A clear fluid surrounding the brain and spinal cord, providing cushioning and nutrients.","It's a clear liquid that surrounds and cushions the brain and spinal cord, protecting them from injury. It's like a soft, protective blanket that helps keep them safe and healthy. It also helps remove waste products from the brain and spinal cord."
CSII (Continuous subcutaneous insulin infusion),A method of delivering insulin through a pump to manage diabetes.,"

A small device under the skin gives a steady flow of insulin, a hormone that helps control blood sugar levels, throughout the day and night. This helps people with diabetes manage their condition and feel better."
CStE (Convulsive status epilepticus),"A prolonged seizure lasting more than five minutes, requiring emergency treatment.","Imagine having a seizure that won't stop. Your body keeps shaking and convulsing, and you can't control it. It's like being stuck in a cycle of intense shaking that won't let up, and it's very serious."
CT (Computerized tomography): An imaging technique using X,rays to create detailed cross-sectional images of the body.,"This is a special kind of picture-taking machine that helps doctors see inside your body. It uses a type of strong X-ray to take many pictures from different angles, which are then put together by a computer to create detailed images of your internal organs and bones."
CTG (Cardiotocogram),A recording of fetal heart rate and uterine contractions during pregnancy.,"During pregnancy, a machine is used to track the baby's heartbeat and the mother's contractions. This helps doctors see how the baby is doing and if it's getting enough oxygen. The machine prints out a graph that shows the baby's heartbeat and the contractions, allowing doctors to make sure everything is okay."
CVP (Central venous pressure),"The pressure in the large veins near the heart, indicating blood volume and heart function.","It's a measure of how much blood is flowing back to the heart from the rest of the body. Imagine a tank filling up with water - if the tank is too full, the water will overflow. Similarly, if the blood is flowing back to the heart too quickly, it can be a sign of a problem."
CVS (Cardiovascular system),"The system comprising the heart and blood vessels, responsible for circulating blood.","Your heart and blood vessels work together to pump blood throughout your body, supplying oxygen and nutrients to your organs and muscles. This system keeps you alive and functioning, making sure your body gets what it needs to stay healthy and strong."
CXR (Chest X,"ray): An imaging test to examine the chest, including the lungs and heart.","A special kind of picture taken of your chest to help doctors see what's inside. It's like taking a photo of your insides, but with X-rays instead of a camera. This helps doctors check your lungs, heart, and other things in your chest to see if they're working properly or if there's a problem."
CYP (Cytochrome P450),A family of enzymes involved in drug metabolism and chemical detoxification.,"

Your body has tiny helpers that break down the medicines you take. These helpers make the medicine work properly and then get rid of what's left. They're like tiny workers in a factory, helping to process the medicine so it doesn't harm you."
DALY (Disability,"adjusted life year): A measure of disease burden, combining years of life lost and years lived with disability.","It's a way to measure the amount of healthy life years lost due to illness, injury, or disability. Imagine having a certain number of years to live a healthy life. If you're sick or hurt, you lose some of those years. This measure adds up those lost years to show the total impact."
DCD (Developmental coordination disorder),"A condition affecting motor skills, causing clumsiness and difficulty with coordination.","Some people have trouble with their bodies doing what their brains tell them to do. They might be clumsy, trip over their own feet, or have a hard time doing tasks that require coordination, like tying their shoes or riding a bike. It's like their body and brain aren't communicating well."
DCT (Direct Coombs’ test),"A test to detect antibodies attached to red blood cells, used in diagnosing hemolytic anemia.","This is a test to check if your body is attacking your own red blood cells. It looks for special proteins called antibodies attached to your red blood cells, which can cause problems. It helps doctors figure out why you might be anemic or have other blood-related issues."
DDAVP (Deamino,8-D-arginine vasopressin): A synthetic hormone used to treat diabetes insipidus and certain bleeding disorders.,"

This medication helps people who have trouble stopping bleeding. It makes their blood clot more easily, so they don't lose too much blood. It's often used for people who have nosebleeds or bleed easily after an injury."
DDH (Developmental dysplasia of the hip),A condition where the hip joint does not develop properly in infants.,"In some babies, the hip joint doesn't form correctly, making the socket too shallow or the ball too loose. This can cause the joint to come out of place, making it difficult for the baby to move their legs or walk properly. It's usually treated with a special device or surgery."
"DEND (Developmental delay, epilepsy, and neonatal diabetes): A rare genetic syndrome characterized by delayed development, seizures, and early",onset diabetes.,"This is a rare condition that affects babies from birth. It causes delays in growth and development, seizures, and high blood sugar levels. Babies with this condition may take longer to reach milestones like sitting, walking, and talking, and may have frequent seizures."
DEXA (Dual,energy X-ray absorptiometry): An imaging test to measure bone density and assess osteoporosis.,"

This is a special kind of X-ray that measures the density of your bones. It helps doctors see if your bones are strong and healthy, or if they're thin and fragile. It's a quick and painless test that can help identify osteoporosis or other bone problems."
DHAP (Dihydroxyacetone phosphate),A metabolic intermediate involved in glycolysis and lipid synthesis.,"It's a type of molecule that helps our bodies make energy from the food we eat. It's like a key that unlocks a process that converts fat and sugar into fuel, giving us the energy we need to move, think, and function."
DHEAS (Dehydroepiandrosterone sulphate),"A hormone produced by the adrenal glands, involved in producing sex hormones.","

This is a type of hormone that our bodies make naturally. It helps regulate growth, development, and fertility. It's produced by the adrenal glands, which sit on top of our kidneys. It's important for our overall health and well-being, especially as we age."
DI (Diabetes insipidus),A condition causing excessive thirst and urination due to hormonal imbalance.,"This is a condition where your body produces a lot of urine that's very diluted, like water. You'll feel extremely thirsty and need to drink a lot to quench your thirst. You'll also urinate frequently, even at night, and may experience bedwetting."
DIC (Disseminated intravascular coagulation),"A serious condition where blood clots form throughout the body, leading to bleeding.","""When the blood's clotting system goes awry, it can cause tiny blood clots to form throughout the body. This prevents normal clotting and can lead to uncontrolled bleeding. It's like having a faulty alarm system that sets off false alarms, causing chaos in the blood vessels."""
DIP (Distal interphalangeal joint),The joint closest to the fingertip or toe tip.,"It's the joint at the tip of your finger, where your finger meets the last bone. It's the joint that bends when you curl your finger towards your palm, and straightens when you stretch your finger out."
DJF (Duodenojejunal flexure),The junction between the duodenum and jejunum in the small intestine.,"

There's a bend in the small intestine where the top part meets the middle part. This bend is important because it helps food from the stomach move smoothly into the intestine where it gets absorbed into the body. It's like a corner where two roads meet, making sure everything flows correctly."
DKA (Diabetic ketoacidosis): A life,threatening complication of diabetes causing high blood sugar and ketone buildup.,"When you have diabetes, your body can't use sugar for energy, so it breaks down fat instead. This creates bad chemicals that make your blood too acidic. If not treated, it can lead to a life-threatening emergency, causing confusion, nausea, and even a coma."
DMARD (Disease,modifying antirheumatic drug): Medications used to slow the progression of autoimmune diseases like rheumatoid arthritis.,"

These are medicines that help slow down or stop joint damage caused by diseases like arthritis. They work by reducing inflammation and preventing the immune system from attacking the joints. This can help ease pain, stiffness, and swelling, and improve overall joint health."
DMD (Duchenne muscular dystrophy),A genetic disorder causing progressive muscle degeneration and weakness.,"of Duchenne muscular dystrophy in simple language:

""This is a condition where the muscles in the body slowly get weaker and waste away. It usually starts in childhood and affects boys more often. Over time, the muscles become so weak that everyday activities, like walking or even breathing, become very difficult."""
DMSA (Dimercaptosuccinic acid),A substance used in imaging tests to evaluate kidney function.,"This is a type of medicine that helps remove harmful substances, like lead or mercury, from the body. It acts like a magnet, attracting these bad substances and carrying them out of the body so they can't cause harm anymore."
DPG (Diphosphoglycerate),A molecule that helps regulate oxygen release from hemoglobin in red blood cells.,"A type of molecule in red blood cells that helps release oxygen to the body's tissues. It's like a key that unlocks oxygen from the blood cell, allowing it to be used by other parts of the body."
"DPT (Diphtheria, pertussis, tetanus)",A combined vaccine to protect against three serious bacterial infections.,"

This is a vaccination that protects against three serious diseases. One disease causes a thick membrane in the throat, making it hard to breathe. Another causes severe coughing fits that can last for months. The third causes painful muscle stiffness and lockjaw."
DSM (Diagnostic and Statistical Manual),A manual used by healthcare professionals to diagnose mental disorders.,"The book helps doctors figure out what's going on with someone who's feeling unwell or struggling with their thoughts or behaviors. It's like a guide that matches symptoms with specific conditions, so doctors can give the right diagnosis and treatment."
DTPA (Diethylenetriamine pentaacetic acid),A chelating agent used in diagnostic imaging and to treat heavy metal poisoning.,"

It's a special medicine that helps remove unwanted metals from the body. These metals can be harmful if they build up inside you. This medicine grabs onto the metals and carries them out of the body, making you healthier and safer."
DVM (Delayed visual maturation),A condition where visual function develops later than usual in infants.,"Some babies are born with eyes that take a little longer to learn how to work together and focus properly. This can cause vision problems, like blurry vision or crossed eyes. But don't worry, this is usually temporary and can be treated with glasses or exercises!"
DVT (Deep vein thrombosis),"A blood clot that forms in a deep vein, typically in the legs.","""A blood clot forms in a deep vein, usually in the leg. It can be painful and cause swelling. If the clot breaks loose, it can travel to the lungs and be life-threatening. It's often caused by prolonged periods of sitting, injury, or surgery."""
EAR (Estimated average requirement),The average daily nutrient intake estimated to meet the needs of 50% of healthy individuals in a group.,"It's the amount of a nutrient that meets the daily needs of half of the healthy people in a group. It's like a target: if you eat this amount, you'll likely get enough of what your body needs to stay healthy, but some people might need a bit more."
EBM (Expressed breast milk),Breast milk that has been pumped or expressed for feeding.,"This is milk from a mother's breast that is pumped out and stored in a container, bottle or bag, so it can be fed to the baby when the mother is not there to nurse. It's a way to keep the baby nourished with the mother's own milk even when they're apart."
EBV (Epstein,Barr virus): A common virus associated with infectious mononucleosis and certain cancers.,"

It's a common virus that many people get when they're young. It can cause fatigue, fever, and swollen neck glands. Most people get better on their own, but it can lead to serious health problems if it stays in the body for a long time."
EC (Embryonal carcinoma),"A rare, aggressive type of cancer derived from germ cells.","

A type of abnormal cell growth that can occur in the reproductive system. It starts from cells that are meant to develop into a new life, but instead, they grow out of control and can cause harm."
ECG (Electrocardiogram),A test that records the electrical activity of the heart to detect abnormalities.,"It's a test that checks your heartbeat. Small sticky pads are put on your skin, usually on your chest, arms, and legs. These pads can feel the tiny electricity that makes your heart beat. The test records this electricity to show if your heart is beating normally or if there's a problem."
ECLS (Extracorporeal life support),A technique to provide prolonged cardiac and respiratory support using an external machine.,"A life-saving machine that takes over the work of the heart and lungs when they're not working well. It pumps blood, adds oxygen, and removes bad stuff, giving the body time to heal. It's like a temporary backup system that helps keep you alive until your own body can recover."
ECMO (Extracorporeal membrane oxygenation),A specialized form of ECLS that oxygenates blood outside the body.,"It's a machine that helps people breathe when their lungs aren't working well. It takes blood out of the body, adds oxygen, and removes bad stuff. Then, it pumps the clean blood back into the body, giving the lungs a break to rest and recover."
EDS (Ehlers,"Danlos syndrome): A group of genetic disorders affecting connective tissues, causing hyperflexibility and fragile skin.","

Some people's bodies have trouble making strong connections between their skin, bones, and other tissues. This can cause their joints to be very loose and flexible, but also prone to injury. Their skin might also be very fragile and prone to tears or bruises."
EEG (Electroencephalogram),A test measuring electrical activity in the brain to diagnose seizures and other conditions.,"This is a test that measures the tiny electrical signals in your brain. It's like listening to your brain's heartbeat. Small sensors are placed on your scalp, and they pick up these signals, which can help doctors understand what's going on in your brain, like if you're having seizures or other problems."
EER (Experimental event rate),The proportion of subjects experiencing an event in the experimental group during a clinical trial.,"

It's a way to measure how often something happens in a group of people who are trying a new treatment or medicine. It's like counting how many people get a certain result out of a certain number of people who are trying something new."
EHEC (Enterohaemorrhagic E. coli),A strain of E. coli bacteria causing severe gastrointestinal illness.,"This is a type of bad bacteria that can make you very sick. It can cause severe stomach cramps, diarrhea, and even kidney failure. You can get it from eating contaminated food or water, or by touching something that has the bacteria on it and then putting your hands in your mouth."
ELBW (Extremely low birth weight),"Refers to infants weighing less than 1,000 grams (2.2 pounds) at birth.","A baby that is born much too small, weighing less than 2.2 pounds (about the weight of a large bag of sugar). This means they need extra care and attention to grow strong and healthy."
ELISA (Enzyme,"linked immunosorbent assay): A test used to detect and measure antibodies, antigens, or proteins in a sample.","

It's a test to find out if your body has been fighting a specific infection or disease. A sample of your blood or fluid is mixed with special helpers that will bind to any signs of the infection. If they bind, it means your body has been fighting the infection, and the test is positive."
EM (Electron microscopy): A high,resolution imaging technique using electron beams to visualize small structures.,"This is a special tool that helps scientists see really, really small things that are too tiny to be seen with the naked eye. It uses a special beam of energy to take super-detailed pictures of tiny objects, like tiny living things or tiny structures."
EMDR (Eye movement desensitization and reprocessing),A psychotherapy method for treating trauma and anxiety disorders.,"This therapy helps people process and deal with traumatic memories. It involves moving your eyes back and forth while thinking about the traumatic event. This helps your brain reprocess the memory, making it less painful and distressing, and allowing you to move on from the experience."
EMG (Electromyogram),A test recording electrical activity in muscles to assess muscle and nerve function.,"This test checks the health of your muscles and the nerves that connect to them. A small device is placed on your skin, and it measures the tiny electric signals that your muscles send when they move. This helps doctors understand if your muscles are working properly or if there's a problem."
EMU (Early morning urine),A urine sample collected first thing in the morning for diagnostic purposes.,"It's a sample of urine collected first thing in the morning, right after waking up. This type of urine is special because it's more concentrated and contains waste that has built up in the body overnight, making it useful for certain medical tests."
Electromagnetic valve,"A valve controlled by an electromagnet, often used in fluid systems or engines.","It's a special kind of valve that opens and closes when it receives an electric signal. This allows it to control the flow of liquids or gases in a precise way, which is useful in machines and equipment."
"ENT (Ear, nose, and throat)","A medical specialty focusing on diseases of the ear, nose, and throat.","This type of doctor specializes in problems related to the parts of your head that help you hear, smell, and breathe. They treat issues like hearing loss, sinus infections, and sore throats, as well as help with speech and swallowing difficulties."
EPO (Emergency protection order),"A legal order to protect an individual, often a child, from immediate harm.",An Emergency Protection Order is a court order that quickly protects someone from harm or abuse. It's like a temporary shield that keeps the abusive person away until the situation can be resolved. It's usually issued in emergency situations where someone is in immediate danger.
ERCP (Endoscopic retrograde cholangiopancreatography),"A procedure to examine and treat bile ducts, pancreas, and gallbladder using an endoscope.","

Doctors use a long, flexible tube with a camera and tools on the end to look inside your digestive system. They slide it through your mouth and into your stomach to check for blockages in the tubes that carry bile and digestive enzymes. They can also fix any problems they find."
ES (Ewing’s sarcoma),"A rare cancer that forms in bone or soft tissue, primarily affecting children and young adults.","It's a type of cancer that affects the bones or soft tissues in the body. It usually occurs in children and young adults. Cancer cells grow rapidly and can spread to other parts of the body, causing pain, swelling, and weak bones. It's a serious condition that needs immediate medical attention."
ESR (Erythrocyte sedimentation rate),A blood test that measures inflammation by observing how quickly red blood cells settle in a tube.,"

When you have an infection or inflammation, your red blood cells stick together and fall to the bottom of a test tube faster than usual. This test measures how quickly they fall, helping doctors figure out if you have an infection or inflammation in your body."
ESRF (End,"stage renal failure): The final stage of chronic kidney disease, requiring dialysis or transplant.","

When your kidneys stop working well, waste builds up in your blood, making you feel sick. This can happen slowly over time, causing many health problems. Eventually, your kidneys may stop working altogether, making it hard for your body to remove waste, leading to serious health issues."
ET (Essential thrombocythaemia),"A rare blood disorder causing an overproduction of platelets, leading to clotting or bleeding issues.","

Your bone marrow produces too many platelets, which are tiny cells that help your blood clot. This can cause problems like blood clots, strokes, or bleeding. It's like having too much glue in your blood, making it thick and sticky."
ETT (Endotracheal tube),A tube inserted into the trachea to maintain an open airway during medical procedures.,"A tube inserted through the mouth or nose and down into the windpipe to help a person breathe. It's like a straw that connects the person's airway to a machine that provides oxygen. This helps people who can't breathe on their own, like those in critical condition or under anesthesia."
FA (Fanconi’s anaemia),A rare genetic disorder causing bone marrow failure and an increased risk of cancer.,"This is a rare condition where the body can't make enough healthy blood cells. It can lead to fatigue, pale skin, and easy bruising. The body's bone marrow, which makes blood cells, isn't working properly. This can cause problems with the immune system and increase the risk of infections and cancers."
FB (Foreign body),"An object in the body that does not belong there, often requiring removal.","When something that doesn't belong inside your body gets stuck inside, like a piece of food or a small object, it can cause problems. This can happen in your ears, nose, eyes, or anywhere else, and it needs to be removed to make you feel better."
FBC (Full blood count),"A blood test measuring the levels of red and white blood cells, platelets, and hemoglobin.","A simple test that checks your blood to see how healthy it is. It counts the different types of cells in your blood, like the ones that carry oxygen, fight infections, and help your blood clot. This helps doctors figure out if you're anemic, infected, or have other health issues."
FDG (18F,fludeoxyglucose): A radioactive glucose compound used in PET scans to detect cancer and other conditions.,"It's a special type of sugar that's used to help doctors see inside your body. They inject it into your vein, and it travels to areas of your body that are using a lot of energy, like cancer cells. A special machine can then detect where the sugar has gone, creating a picture of what's happening inside you."
FDP (Fibrin/Fibrinogen degradation products),"Substances formed when blood clots break down, indicating clotting activity.","When your body forms a blood clot, it breaks down afterwards. This breakdown releases tiny bits of protein into the bloodstream. These bits can be a sign that your body is trying to dissolve a blood clot, which can happen when you're sick or injured."
FEL (Familial erythrophagocytic lymphohistiocytosis),A rare inherited disorder causing excessive immune activity and blood cell destruction.,"

It's a rare condition where the body's immune system goes wrong. White blood cells, which usually help fight infections, start eating up other healthy cells, including red blood cells. This can lead to anemia, bleeding, and other serious health problems. It often affects children and can be inherited from parents."
FEV1 (Forced expiratory volume in 1 second),"The amount of air exhaled in the first second during a forced breath, used to assess lung function.","

It's a test that measures how much air you can breathe out of your lungs in one second when you breathe out as hard and fast as you can. It helps doctors see how well your lungs are working."
FFP (Fresh frozen plasma),"A blood product containing clotting factors, used in transfusions for clotting disorders.","It's a special kind of liquid taken from donated blood. The liquid part of the blood is frozen soon after it's donated, which helps keep it fresh. It's used to help people who are bleeding badly or have a problem with their blood clotting."
FH (Familial hypercholesterolaemia),A genetic condition causing high cholesterol levels and increased risk of heart disease.,"Some people are born with a condition that makes their body produce too much bad cholesterol, which can lead to heart problems. It's a genetic issue, meaning it's passed down from parents, and can cause very high cholesterol levels from a young age."
FHL (Familial haemophagocytic lymphohistiocytosis),A genetic disorder leading to excessive immune system activation and tissue damage.,"in simple language:

This is a rare condition where the immune system goes haywire and starts attacking the body's own cells. It's like a case of mistaken identity, where the immune system thinks the body's cells are invaders and tries to destroy them. This can lead to serious health problems if not treated."
FiO2 (Fractional inspired oxygen),"The percentage of oxygen in the air a person breathes, used in respiratory care.","It's a measure of how much oxygen is in the air you breathe in. Normally, air has about 21% oxygen. If you need more oxygen, machines can add more to the air you breathe, and this measures how much extra oxygen you're getting."
FISH (Fluorescence in situ hybridization),A lab technique to detect genetic abnormalities or specific DNA sequences.,"

This is a laboratory test that looks at a person's cells to see if there are any problems with the tiny building blocks inside. It uses special dyes that glow under a microscope to highlight any abnormal areas, helping doctors diagnose and treat certain conditions."
